x_left,y_left,x_right,y_right
110,315,127,308
214,387,235,377
300,454,334,452
430,556,469,551
511,653,578,644
544,730,636,728
536,797,648,805
495,863,611,900
415,928,527,997
337,971,441,1056
245,1013,342,1109
141,1058,212,1174
38,1098,95,1218
